N,Integral,Error
10,-0.9657590653461392,0.0342409346538608
20,-0.9827754719736862,0.0172245280263138
30,-0.9884938402873319,0.011506159712668107
40,-0.9913617009604191,0.00863829903958091
50,-0.9930851944722275,0.006914805527772461
60,-0.9942353473818812,0.00576465261811876
70,-0.9950574520104222,0.004942547989577828
80,-0.9956743404788303,0.0043256595211697
90,-0.9961543263261001,0.0038456736738998742
100,-0.9965384307395622,0.0034615692604378356
110,-0.9968527745070249,0.003147225492975081
120,-0.9971147802544643,0.002885219745535683
130,-0.9973365147802635,0.0026634852197364722
140,-0.9975266001991562,0.002473399800843823
150,-0.9976913612451843,0.002308638754815684
160,-0.9978355426612082,0.002164457338791781
170,-0.9979627735721441,0.002037226427855865
180,-0.9980758771710263,0.0019241228289736956
190,-0.9981770826716382,0.0018229173283618172
200,-0.9982681737137478,0.001731826286252236
